Word	Frequency
kincs_NOUN	6.870693547437231e-05
megrajzol_VERB	4.907638248169451e-06
kibukik_VERB	1.4722914744508353e-05
száj_NOUN	0.0006723464399992148
itteni_ADJ	9.815276496338901e-06
schmer_VERB	4.907638248169451e-06
láthatóbb_ADJ	1.9630552992677803e-05
tito_NOUN	1.4722914744508353e-05
bécsi_ADJ	9.815276496338901e-06
kinyúlik_VERB	4.907638248169451e-06
ha_SCONJ	0.009437388351229854
senkitõl_NOUN	4.907638248169451e-06
villózik_VERB	9.815276496338901e-06
önki_NOUN	4.907638248169451e-06
házal_VERB	4.907638248169451e-06
mellett_ADP	0.00015704442394142242
cuba_NOUN	8.342985021888067e-05
hajmosás_NOUN	9.815276496338901e-06
villanó_ADJ	1.9630552992677803e-05
ellenpélda_NOUN	4.907638248169451e-06
tuccutú_ADJ	1.9630552992677803e-05
londoni_ADJ	4.907638248169451e-06
magabiztos_ADJ	9.815276496338901e-06
eljegesedett_ADJ	4.907638248169451e-06
grog_NOUN	4.907638248169451e-06
fű_NOUN	0.0002699201036493198
nõ_NOUN	2.9445829489016706e-05
eltűnéstito_NOUN	4.907638248169451e-06
vajon_ADV	0.00024538191240847253
derengô_ADJ	4.907638248169451e-06
szaltó_NOUN	4.907638248169451e-06
elmesél_VERB	2.4538191240847256e-05
személytelen_ADJ	4.907638248169451e-06
üveghegy_NOUN	9.815276496338901e-06
love_NOUN	0.00010306040321155847
szűköl_VERB	4.907638248169451e-06
rajzfilm_NOUN	1.9630552992677803e-05
hír_NOUN	0.00014232150919691407
ár_NOUN	0.0001619520621895919
kinő_VERB	4.4168744233525056e-05
után_ADP	0.0005545631220431479
ragaszt_VERB	3.4353467737186156e-05
varázshegy_NOUN	9.815276496338901e-06
elindul_VERB	0.00015704442394142242
tagadó_ADJ	4.907638248169451e-06
csitít_VERB	4.907638248169451e-06
léptek_NOUN	4.907638248169451e-06
trágya_NOUN	4.907638248169451e-06
lecsó_NOUN	5.889165897803341e-05
nagyvad_NOUN	9.815276496338901e-06
derogál_VERB	4.907638248169451e-06
látcső_NOUN	4.907638248169451e-06
repes_VERB	4.907638248169451e-06
ufo_NOUN	4.907638248169451e-06
tücsök_NOUN	3.9261105985355606e-05
felelőtlen_ADJ	4.907638248169451e-06
szûz_NOUN	4.907638248169451e-06
növénynövés_NOUN	4.907638248169451e-06
horgony_NOUN	9.815276496338901e-06
édenkert_NOUN	2.9445829489016706e-05
hülyéskedik_VERB	5.398402072986396e-05
zümmög_VERB	9.815276496338901e-06
töl_VERB	4.907638248169451e-06
vödör_NOUN	2.4538191240847256e-05
jinn_ADV	4.907638248169451e-06
bábú_ADJ	4.907638248169451e-06
harmatfű_NOUN	4.907638248169451e-06
olyasmi_PRON	9.815276496338901e-06
jános_PROPN	4.4168744233525056e-05
kivégzőosztag_NOUN	4.907638248169451e-06
lehuny_VERB	2.9445829489016706e-05
erősítve_ADV	4.907638248169451e-06
vigasztalan_ADJ	4.907638248169451e-06
boszorka_NOUN	4.907638248169451e-06
felugrik_VERB	4.907638248169451e-06
látható_ADJ	3.9261105985355606e-05
megtett_ADJ	4.907638248169451e-06
versláb_NOUN	9.815276496338901e-06
munkahely_NOUN	1.9630552992677803e-05
elbújik_VERB	6.379929722620287e-05
tegnapelőtti_ADJ	4.907638248169451e-06
hééj_NOUN	4.907638248169451e-06
szentjánosbogár_NOUN	2.4538191240847256e-05
