Location	Latitude	Longitude	Count
Budapest	47.4983815	19.0404707	15064
Moszkva	55.751244	37.618423	7554
Strasbourg	48.58361	7.74806	6227
Moszkva tér	47.50697	19.0242	5881
Városliget	47.51387	19.08527	3651
Tatabánya	47.5837788	18.3980308	3238
Budai vár	47.499	19.0363	3114
Balaton	48.0944507	20.3060574	2975
Röszke	46.187242700000006	20.0354983	2973
Szabadság Híd	47.4858	19.05497	2966
Duna	-23.7592	28.10293	2914
Brüsszel	50.8503396	4.3517103	2852
Szolnok	47.1754555	20.1946818	2505
Tata	47.6500863	18.3181275	2354
Pest	38.65	41.6	2351
Eger	47.898988700000004	20.3743665	2155
Kaposvár	46.35646920000001	17.788688600000004	2119
Paks	46.6229468	18.858936399999997	2109
Szombathely	47.229118400000004	16.6187625	1964
London	-18.38333	32.58333	1813
Polgár	47.8707939	21.114103200000002	1737
Manchester	-19.1	32.8	1591
Pécs	46.0763222	18.228074600000003	1558
Notre-Dame	44.16527	5.64521	1548
Liverpool	-18.37083	32.62167	1518
Vértesszőlős	47.620606099999996	18.381345899999996	1509
Győr	47.687609	17.6346815	1380
Bécs	48.210033	16.363449	1319
Szeged	46.254631200000006	20.1486016	1275
Szabolcs-Szatmár-Bereg	48	22.16667	1251
Békéscsaba	46.6849789	21.0866918	1232
Párizs	-19.05	29.56667	1112
Washington	-18.61739	29.8101	1104
Heves	47.595752600000004	20.289772199999998	1098
New York	-23.41635	27.55004	1080
Zugló	47.51758	19.10549	1068
Nógrád	47.9094266	19.0478895	1011
Bánkút	46.503998200000005	21.0948593	921
Ferencváros	47.47754	19.09081	906
Debrecen	47.531399	21.625978200000002	892
Szentes	46.6524049	20.2566408	886
Szabadszállás	46.8752316	19.2225016	875
Bali	-20.53333	28.88333	874
Somogyudvarhely	46.177342700000004	17.1909701	843
Berlin	-22.64013	28.61848	840
Barcelona	41.390205	2.154007	830
Bor	37.8354	34.50313	785
Sopron	47.6803063	16.5983457	784
Miskolc	48.103151700000005	20.7902158	670
Veszprém	47.0916334	17.911600699999997	668
Newcastle	-20.65822	29.99285	590
Buda	47.6101406	20.7708973	565
Helsinki	60.3694	24.60851	553
Hatvan	47.6683971	19.674387399999997	534
Hollywood	-12.9	28.3	529
Kecskemét	46.9080769	19.6928133	522
Leicester	-18.08742	31.44043	520
Mexikó	47.790749299999995	18.7916522	513
Szarvas	47.8982343	20.2543887	501
Székesfehérvár	47.1910169	18.410811	465
Trianon	-30.00505	27.10936	459
Szabolcs	48.1718359	21.4954557	449
Peking	39.991844	116.310173	446
Felcsút	47.4545349	18.5862386	444
Hódmezővásárhely	46.417134399999995	20.3196068	434
Csongrád	46.7096643	20.1531646	416
Csepel	47.42303	19.07837	405
Madrid	-23.03332	28.46217	403
Baranya	46	18.5	400
Zala	46.7392974	18.0014999	389
Brighton	-23.96667	29.98333	379
Újpest	47.567139700000006	19.0920734	372
Florida	-15.41667	28.51667	346
Érd	47.39489	18.91361	345
Siófok	46.907169399999994	18.0541598	344
